Cell-Cell contact name,Contact mean value,Normality test P-value,Contact Time Point,Relative Contact Area
ABprappapp->ABprappaap,1522.54772617,7.31327243977e-05,10.956043956,0.128208289546
ABarpp->ABpraa,10035.8488736,0.0719805908888,16.7362637363,0.146350191142
ABplaapaa->ABplaaaaa,2248.3514926,0.811877065583,30.989010989,0.129888461893
ABplaapaa->ABplaaaap,1475.71629842,0.0423445813419,21.6703296703,0.102035339193
MSpapap->ABarapappp,1621.55053779,0.0106197290722,10.7142857143,0.111818628512
ABplpappaa->ABplpapapa,1785.53195598,0.563225242109,15.7692307692,0.14070130352
ABarpap->ABplapa,3829.66276751,0.970097205108,15.043956044,0.0929323407146
Cpaa->ABarpppp,5253.73123045,0.00426311248708,17.8351648352,0.182003168597
Dp->ABprpppp,6302.33242805,0.747437724035,16.5934065934,0.214411174424
Cpppa->Dppp,2632.67024836,0.0905588678155,17.8791208791,0.172906895857
ABplapapp->ABplappap,2423.36324719,0.886912421672,27.7802197802,0.133473291319
ABalpaa->ABalaap,4103.28644007,0.942912578516,15.4065934066,0.10335002198
ABprpppa->ABprppap,4116.65758418,0.0510886831618,23.2087912088,0.147013637077
ABarpaapp->ABarppaaa,4009.95820147,0.510012627253,26.2197802198,0.220838186825
ABarpappp->ABpraapap,2195.40918394,0.256494389549,28.4945054945,0.128435249505
ABaraappp->MSpapaa,2018.64899355,0.807230007501,24.032967033,0.116446582048
ABprppppaa->ABprpppaaa,1621.77532243,7.00936187359e-05,13.5274725275,0.13260697125
MSpppaa->ABaraapppp,1367.48937374,0.205956690491,16.1648351648,0.110692744534
Epla->ABarppapa,1998.4177687,0.441061649569,26.1318681319,0.134597494772
Epla->ABarppapp,1248.79778657,0.0312087456831,14.2197802198,0.112187857235
Epla->ABarppaap,2479.69762519,0.0021936437218,25.7142857143,0.166381054905
MSpap->MSppp,4812.56396241,0.534078102314,17.5604395604,0.127835744326
MSpap->MSapp,4428.34076367,0.174804048178,16.5054945055,0.122083624313
MSpap->MSppa,3072.42211222,0.470440511637,14.0659340659,0.0951330374309
MSapa->ABalpppp,3171.61824878,0.921744836971,9.06593406593,0.106000488384
MSapa->ABalpapp,4284.52426158,0.0277831704568,9.38461538462,0.142341405691
MSp->ABarap,10031.2734602,0.839449078951,6.6043956044,0.138889629528
Cp->D,11942.2937027,0.00146870860001,11.5494505495,0.168276736189
Cp->ABprap,12400.5809294,0.00122671415945,11.6923076923,0.17513454581
Eplaa->ABarppaapa,2011.07658206,0.411792546278,7.92307692308,0.169172706555
ABprapapp->ABprapppa,2336.77937144,0.849794808298,26.3186813187,0.13492716301
ABplaapa->ABplaaap,3686.46898028,0.705882475035,23.3626373626,0.129632578686
Z2->MSpappp,1921.64618711,0.900598127812,32.8571428571,0.129536569417
ABalapapp->ABplaaaap,1486.71762214,0.526002705187,23.3626373626,0.0989411939339
ABprpapaa->MSpppap,1168.06694621,0.781501083057,11.7142857143,0.0954413879355
ABalpapppp->ABplpappaa,1686.41276241,0.328131232746,20.6153846154,0.125740738994
Cppa->ABprppppp,4020.365061,0.0629305563354,9.81318681319,0.201957377298
ABplpppppp->ABplpppapp,1877.51637815,0.157853285088,13.6153846154,0.152502918507
ABplpapa->ABplppaa,2120.12976758,0.356020964496,16.8901098901,0.086818083558
Cppp->Dpp,3513.39533067,0.0343264086434,10.1648351648,0.146381983727
ABpl->EMS,19054.9686813,0.0434412674059,2.30769230769,0.106066627429
ABpl->MS,20763.0703811,0.806691932052,7.48351648352,0.139236859
ABpl->P2,12846.9831941,0.227895800047,4.03296703297,0.076305806478
ABaraapapa->MSaaapaa,1030.1856206,0.410528053917,11.3296703297,0.0912025325594
ABplpppaaa->ABplppappa,1286.07431709,0.0379839877483,9.50549450549,0.110418461906
ABplpaaa->ABplpapa,2458.61906445,0.941738405207,16.6373626374,0.101101063252
ABalpappa->ABalpapap,3200.51562636,0.00134577787139,28.5714285714,0.169649333965
ABprpapap->ABprppaaa,1439.10284094,0.524105749464,15.9340659341,0.101671762021
ABplpapaap->ABplppaapa,1205.22895802,0.734387189997,7.32967032967,0.110028545923
ABprpappp->ABprppaap,1669.18046331,0.146485662117,13.4725274725,0.110106645285
MSaaap->MSpaaa,2181.89944976,0.626332432793,16.967032967,0.0974715451459
ABplppppp->Capaa,3228.746993,0.679474858203,21.2197802198,0.184940475725
ABplppppp->Capap,2615.19617205,0.109145186478,17.8791208791,0.166486211385
MSappp->MSapapp,2703.37936023,0.457096356326,6.97802197802,0.148464567323
Dapa->MSapppp,1118.80647055,0.0279546464914,16.1208791209,0.100624382825
MSpaap->Eala,1985.99606733,0.00718996192932,12.5164835165,0.0982440347924
Dp->Z2,5598.8708984,0.0193211746011,9.35164835165,0.195867734131
ABplppapap->ABplppappa,2406.88452046,0.000214766210843,10.5824175824,0.198385511076
ABarpaappa->ABarpaapap,3282.89997241,0.382669356501,19.1978021978,0.248613004097
ABarapapa->ABarapaap,2739.8665103,0.0410999341845,29.1208791209,0.148593052758
ABplapa->ABarppa,6466.84058533,0.71378974849,17.0659340659,0.147310938027
ABalpaapa->ABalppaaa,1710.14363949,0.77987145111,15.4505494505,0.107939456781
ABprpaaap->ABprppaaa,1368.587483,0.18922809826,16.7252747253,0.0976420949648
ABprapapaa->ABprappapa,1966.94025483,0.589603782982,12.2087912088,0.159583907699
Ealpp->Eplaa,2344.71230809,3.92334215293e-05,8.26373626374,0.194879222291
ABarapapp->MSpapaa,2510.4628424,0.000165520756268,22.3076923077,0.138499760959
ABplpaaap->ABplppaaa,1690.06379915,0.236421120651,22.7692307692,0.107121774812
MSa->ABalpa,11064.0214288,0.200032089247,6.48351648352,0.153012474861
MSa->ABalpp,8614.7287793,0.28471733171,6.48351648352,0.119316328782
MSa->ABaraa,8465.20648179,0.0781726359313,6.3956043956,0.11812065237
ABplppppap->ABplpppppa,1671.22651579,0.533427247056,15.3736263736,0.132949037415
ABalpaapa->ABalaaaal,3233.86429738,7.5139103191e-10,20.6153846154,0.180144361563
ABarpapa->ABpraaaa,3216.92177557,0.6286854968,18.5714285714,0.128346906418
ABarpapa->ABpraaap,2633.51570675,0.787426587272,10.6593406593,0.126131222231
ABplpppap->ABplppapp,1432.61176842,0.793018584929,19.4395604396,0.0970194975987
ABplpppap->ABplapppp,2423.77614093,0.541504844548,30.8681318681,0.142738377114
ABplpppap->ABplapppa,1817.74410496,0.962497374181,29.2197802198,0.109168868692
MSpppp->MSppapp,2568.43477673,8.24999857613e-07,6.1978021978,0.141773843967
ABarapappp->MSpapapa,1619.99480963,0.00357985979313,10.3516483516,0.133476640325
ABprpppap->ABprapppp,2715.38755957,0.348003529709,30.7362637363,0.160605147167
ABprpppap->ABprapppa,1999.44113716,0.515384320674,30.5274725275,0.117281092372
Eprp->Cpaap,2113.92274532,0.480239429895,27.021978022,0.125573043088
Eprp->Dpp,2320.37648076,0.87748611411,24.3406593407,0.132812313754
Cpaaaa->ABarpppapa,2099.26199142,0.108218209779,12.7362637363,0.171612994771
Ealap->Ealpa,2150.01850931,0.591469692927,11.4505494505,0.175617273909
Ealap->Ealpp,1715.84590562,0.0232827448326,10.7252747253,0.14263614526
ABplapapaa->ABplappapa,2037.6387419,0.0356420031029,14.2747252747,0.162993364681
ABalappaa->ABarpaaaa,1654.08636964,0.633766370582,24.043956044,0.108990626569
ABalpp->ABplaa,9370.63560639,0.699933081121,16.5714285714,0.135561882788
ABalpp->ABplpa,10422.3882698,0.0792077881486,16.956043956,0.151929090885
Capp->Eplp,2680.36523365,0.0471255147208,11.7692307692,0.117626542205
Capp->Dap,2596.60898207,0.798026459135,12.2087912088,0.118084172358
ABprpapp->ABprppap,2849.8415221,0.875414162425,16.3846153846,0.117884692907
ABprpapp->ABprppaa,2521.09070735,0.799114694727,17.3516483516,0.0994921652845
ABprpapp->ABprpppa,2632.5417345,0.372897704726,11.2857142857,0.119357350114
ABprppppap->ABprpppaap,1537.64602994,6.10922208649e-08,13.8351648352,0.124441586707
Ca->ABplap,10044.6030939,0.0445711574112,11.7362637363,0.143638744422
Ca->ABplpp,9572.10352654,0.186434589362,11.6483516484,0.135171149538
Ca->ABarpp,10637.8651952,0.102301606962,11.7582417582,0.150418716795
ABalpappp->ABalppapp,1434.96943392,0.305284144624,12.6703296703,0.108975231912
ABalpa->ABplaa,5886.06682862,0.00488382049917,13.4065934066,0.0966142365051
ABplpaappa->ABplpaapap,1851.74730268,3.47240794044e-11,15.7692307692,0.145826922703
ABalpapa->MSaaaa,3067.28429085,0.363026755267,13.3516483516,0.127780104755
C->P3,20380.667686,0.35808714067,12.1318681319,0.16102716842
C->ABpra,13664.9326535,0.411429977286,6.6043956044,0.125401733532
C->ABplp,8978.02404362,0.0225860159617,5.56043956044,0.0905059462172
C->ABarp,13591.5316372,0.713350222305,6.59340659341,0.124362828013
C->ABprp,14684.8207541,0.375528870494,6.68131868132,0.132625115733
ABalaaappr->MSpaaaaa,1031.93844062,0.456712507801,11.0,0.0914506085594
Cpp->ABprppp,4932.43178452,0.545125980935,15.956043956,0.113625543663
Dpp->Cpppa,1319.01277944,0.865879679443,12.8791208791,0.0878734053624
MSpppp->ABprppapa,1854.30242775,0.820060364357,13.0879120879,0.10427684972
ABarappap->ABarapppp,1902.38953363,0.000190244274166,26.967032967,0.110974701977
MSppppp->Dppa,1141.47715698,0.0354320343271,17.1758241758,0.0997797977219
ABprapa->ABprpaa,4425.52534037,1.07705842559e-07,17.6263736264,0.10135382169
Daa->ABplppppp,1843.73274403,0.356270603632,11.9340659341,0.123570997559
Daa->ABplppppa,1760.5560212,0.228875386532,20.7362637363,0.104277759105
MSpapap->MSpappa,2809.33418469,0.391404701921,28.2087912088,0.165946057402
MSaap->MSapa,6636.46884617,0.0603260555497,18.5274725275,0.175616869416
Cpppa->ABprapppa,908.82157704,7.8387201622e-10,14.6043956044,0.0944467223341
Cpppa->ABprapppp,3088.82403468,0.253373881707,31.2087912088,0.190134845282
ABarpapaap->ABarpapapa,2047.59478042,0.0583615307997,13.9230769231,0.163603106269
ABpraapppp->ABprppapap,1262.76936226,0.407925756065,10.4505494505,0.111459849207
Eprp->ABarppppp,2330.27154539,0.000106888975557,35.3846153846,0.141411106448
ABprapappa->ABprapapap,2529.25346615,2.40477179253e-07,16.4505494505,0.196050162778
ABalapa->ABarpaa,6182.12054354,0.112800491036,17.8241758242,0.140929379931
ABplpppaap->ABplpppapa,2059.74755598,0.718963556415,13.9340659341,0.16441654136
Da->MSappp,4269.05681829,0.160230396155,6.30769230769,0.154402773582
ABplpapp->ABplppap,2482.10397947,0.862589786429,15.5164835165,0.102952932796
ABalppappa->ABalpapapa,1310.58313801,0.176981888715,13.4505494505,0.11203811523
ABalpppaa->ABplaaaaa,1232.84928091,0.251710548556,13.5054945055,0.0920788954162
ABpraaaa->ABpraaapa,3041.89188396,0.372401275886,3.45054945055,0.14209460617
D->ABprpp,8635.36270278,1.1561215003e-05,17.1538461538,0.127312248692
D->P4,9275.35018681,0.303386061456,23.8241758242,0.150210215903
Cpaaa->ABarppppp,3260.76788524,0.0146559215776,26.032967033,0.183368956167
Cpaaa->ABarppppa,2620.46615742,0.217900022343,24.5384615385,0.152647239756
Ep->Ca,5990.87050357,0.0325128325428,13.4285714286,0.0837745139135
ABalap->ABaraa,8088.46388446,1.6632916067e-06,16.3956043956,0.118682711745
ABara->MSa,10520.5900667,0.114414862809,7.35164835165,0.105847332487
ABaraaaap->ABaraappaa,1280.27849973,0.483715905286,14.5714285714,0.0980935657101
ABprapaaa->ABpraapppa,2080.07847908,0.115900750666,5.36263736264,0.140331634363
Ealp->Epla,2869.35287708,0.438979255251,41.978021978,0.155152602439
Ea->MSpa,6709.75456303,0.923967559997,11.6813186813,0.130346512113
ABarapp->MSpaa,5091.72289361,0.513372897495,12.6703296703,0.121692187591
MSappp->ABplppapa,2206.99318177,0.417309543701,14.6813186813,0.119973414228
P3->Cp,15442.4021868,0.0364158546292,4.71428571429,0.159565841946
P3->Ep,16972.332913,0.746582176322,6.98901098901,0.172371736345
ABplappap->ABplapppa,2814.98354582,0.70791615381,32.7142857143,0.157890974443
ABarappppp->ABarappapa,1653.37356224,0.0409357027104,14.978021978,0.134017077648
ABpraaapp->MSppapa,1477.50374415,0.178767873457,13.8681318681,0.0909080093973
Epla->Caaaaa,1884.26526912,0.158499971064,8.38461538462,0.14255118506
Cap->Cpa,5294.82202633,0.693678083525,18.6703296703,0.109280533403
Dpa->Dppa,2627.12045578,0.902416335788,3.82417582418,0.149628916823
Dapa->Daap,2228.49341088,0.402261298576,23.0549450549,0.163037788966
Dapa->Daaa,1574.94803629,0.117014804677,21.3846153846,0.116407780862
ABarapaaa->ABaraaapap,1771.51878599,0.102233038502,8.62637362637,0.123334728056
Caaapp->Cpaapp,2075.25703554,0.578072236161,17.6703296703,0.162683944032
MSapap->MSappa,3615.695545,0.172322361309,25.9340659341,0.147726432241
ABarpppa->ABprapaa,3728.5192945,0.148411722127,22.010989011,0.143432610624
Cpapp->ABprapppp,1447.96052086,0.308467337516,16.7582417582,0.108676404517
Eal->Epl,3501.06880764,0.865759149135,25.8351648352,0.104464715487
ABprapaap->ABpraapppp,2418.85561022,0.0183842401167,9.1978021978,0.16879585158
ABarapapp->ABarappap,2096.96230705,0.899959058417,22.1868131868,0.124796946493
